epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2156.22,0.52639,0.30805,0.88849,0.98691,0.9851,0.99368,0.89528,0.48248,0.25885,0.86291,0.000990365,0.000990365,0.000990365
43,2207.05,0.53426,0.30122,0.8936,0.9798,0.98848,0.99362,0.8931,0.47727,0.24925,0.86584,0.000973861,0.000973861,0.000973861
44,2258.17,0.51903,0.29523,0.88669,0.98324,0.97518,0.99223,0.8909,0.47783,0.2597,0.86584,0.000957358,0.000957358,0.000957358
45,2311.97,0.52634,0.29878,0.8931,0.9816,0.98677,0.99329,0.89537,0.47294,0.24825,0.8599,0.000940855,0.000940855,0.000940855
46,2368.39,0.52754,0.3014,0.89157,0.98248,0.98373,0.99329,0.89627,0.4748,0.25087,0.86218,0.000924352,0.000924352,0.000924352
47,2435.36,0.52428,0.29475,0.89617,0.98572,0.9885,0.99367,0.90289,0.46586,0.24491,0.85703,0.000907848,0.000907848,0.000907848
48,2500.74,0.5154,0.29482,0.88734,0.97807,0.9875,0.99316,0.89842,0.4626,0.24321,0.8557,0.000891345,0.000891345,0.000891345
49,2618.41,0.52461,0.30034,0.88964,0.98562,0.98551,0.9937,0.89699,0.47525,0.24761,0.86232,0.000874842,0.000874842,0.000874842
50,2677.97,0.51468,0.28697,0.886,0.98389,0.9896,0.9936,0.89845,0.46757,0.23957,0.86025,0.000858338,0.000858338,0.000858338
51,2746.03,0.50987,0.28756,0.88648,0.98187,0.9856,0.99393,0.89297,0.47398,0.23977,0.85926,0.000841835,0.000841835,0.000841835
52,2812.63,0.50728,0.2804,0.88737,0.99071,0.98372,0.99346,0.90183,0.46709,0.24028,0.85812,0.000825332,0.000825332,0.000825332
53,2877.58,0.51443,0.28525,0.88587,0.98746,0.98541,0.99337,0.89767,0.46893,0.23947,0.85459,0.000808828,0.000808828,0.000808828
54,2937.79,0.50253,0.27828,0.88143,0.9851,0.98488,0.99322,0.89984,0.46636,0.23766,0.8554,0.000792325,0.000792325,0.000792325
55,2990.96,0.50315,0.27891,0.8888,0.98928,0.98161,0.99296,0.89221,0.47448,0.24218,0.86429,0.000775822,0.000775822,0.000775822
56,3041.82,0.49975,0.27625,0.87852,0.98737,0.98538,0.9933,0.89608,0.47241,0.23615,0.85804,0.000759318,0.000759318,0.000759318
57,3092.65,0.50396,0.27539,0.8808,0.98179,0.98678,0.99283,0.89478,0.45736,0.2354,0.85627,0.000742815,0.000742815,0.000742815
58,3143.51,0.49311,0.27111,0.87533,0.9917,0.98411,0.99295,0.90038,0.45805,0.23026,0.85193,0.000726312,0.000726312,0.000726312
59,3194.94,0.49713,0.27677,0.87946,0.98839,0.98552,0.99397,0.89997,0.46621,0.23492,0.85525,0.000709809,0.000709809,0.000709809
60,3246.65,0.50376,0.28534,0.88347,0.97993,0.9897,0.99277,0.89873,0.46403,0.23924,0.85102,0.000693305,0.000693305,0.000693305
61,3297.56,0.49613,0.27084,0.87963,0.98186,0.98737,0.99358,0.90353,0.45838,0.23271,0.85281,0.000676802,0.000676802,0.000676802
62,3348.62,0.49785,0.27506,0.87972,0.98909,0.98483,0.99328,0.90424,0.45618,0.23411,0.85191,0.000660299,0.000660299,0.000660299
63,3399.62,0.49691,0.27001,0.87904,0.98528,0.98593,0.99314,0.89849,0.45808,0.23387,0.84932,0.000643795,0.000643795,0.000643795
64,3450.53,0.4981,0.27312,0.87847,0.98937,0.98649,0.9931,0.90194,0.45993,0.22902,0.8596,0.000627292,0.000627292,0.000627292
65,3501.49,0.49583,0.27841,0.87712,0.98367,0.98815,0.99287,0.9037,0.46094,0.23522,0.85808,0.000610789,0.000610789,0.000610789
66,3552.44,0.48922,0.26484,0.87594,0.98274,0.98759,0.99367,0.90295,0.45794,0.22634,0.85576,0.000594286,0.000594286,0.000594286
67,3603.28,0.49033,0.26109,0.87591,0.98435,0.98782,0.99338,0.90449,0.45554,0.22765,0.85571,0.000577782,0.000577782,0.000577782
68,3654.35,0.48709,0.26253,0.8732,0.98379,0.98784,0.99332,0.90704,0.45186,0.22435,0.85169,0.000561279,0.000561279,0.000561279
69,3706.86,0.48385,0.25859,0.88059,0.98664,0.98685,0.99354,0.90838,0.45109,0.2225,0.85259,0.000544776,0.000544776,0.000544776
70,3758.48,0.48572,0.26268,0.87406,0.98145,0.99067,0.9938,0.90544,0.45162,0.22152,0.85269,0.000528272,0.000528272,0.000528272
71,3810.96,0.47724,0.25648,0.87409,0.98628,0.98761,0.99408,0.90484,0.45231,0.21731,0.8502,0.000511769,0.000511769,0.000511769
72,3862.95,0.48573,0.25666,0.87461,0.98667,0.98816,0.99355,0.90082,0.45546,0.22175,0.85232,0.000495266,0.000495266,0.000495266
73,3913.81,0.47729,0.2544,0.87129,0.98527,0.9874,0.993,0.90672,0.44842,0.21938,0.84972,0.000478762,0.000478762,0.000478762
74,3964.59,0.47211,0.25271,0.87081,0.98663,0.98946,0.9933,0.90664,0.44898,0.22154,0.85047,0.000462259,0.000462259,0.000462259
75,4015.79,0.4777,0.24999,0.87098,0.98439,0.98891,0.99341,0.90777,0.44358,0.21626,0.84822,0.000445756,0.000445756,0.000445756
76,4067.75,0.47022,0.24775,0.86976,0.99099,0.98649,0.99388,0.91058,0.4444,0.21624,0.84668,0.000429253,0.000429253,0.000429253
77,4119.4,0.4842,0.2534,0.87565,0.98623,0.9887,0.99389,0.90541,0.44892,0.21818,0.84994,0.000412749,0.000412749,0.000412749
78,4171.26,0.46238,0.24398,0.86969,0.98669,0.98649,0.9938,0.90599,0.44818,0.21458,0.84995,0.000396246,0.000396246,0.000396246
79,4223.32,0.47101,0.24845,0.87062,0.98498,0.98981,0.99406,0.90694,0.44722,0.21299,0.84871,0.000379743,0.000379743,0.000379743
80,4274.97,0.47056,0.24298,0.86832,0.98486,0.98926,0.99393,0.911,0.44056,0.21191,0.84957,0.000363239,0.000363239,0.000363239
81,4325.93,0.46441,0.24234,0.8698,0.98186,0.98926,0.99392,0.90794,0.44148,0.21108,0.8458,0.000346736,0.000346736,0.000346736
82,4377.27,0.47079,0.24365,0.87193,0.98803,0.9875,0.99372,0.90854,0.43869,0.20873,0.84478,0.000330233,0.000330233,0.000330233
83,4428.15,0.45834,0.23982,0.86641,0.98734,0.98535,0.99369,0.9082,0.44139,0.21052,0.84778,0.000313729,0.000313729,0.000313729
84,4478.94,0.46298,0.24326,0.86858,0.98511,0.99036,0.99372,0.9108,0.44093,0.21041,0.84658,0.000297226,0.000297226,0.000297226
85,4529.75,0.45987,0.24195,0.86489,0.98616,0.9897,0.99362,0.90862,0.43893,0.20836,0.84717,0.000280723,0.000280723,0.000280723
86,4580.6,0.46198,0.23793,0.86542,0.98771,0.98589,0.99364,0.9105,0.4423,0.21159,0.84648,0.00026422,0.00026422,0.00026422
87,4631.42,0.46025,0.23544,0.86548,0.98834,0.98649,0.9936,0.91282,0.43911,0.20908,0.84275,0.000247716,0.000247716,0.000247716
88,4682.25,0.4496,0.2343,0.86252,0.98942,0.98443,0.99385,0.9107,0.43873,0.20655,0.84536,0.000231213,0.000231213,0.000231213
89,4733.11,0.45157,0.23152,0.8672,0.98427,0.98815,0.99365,0.91151,0.43766,0.20878,0.84396,0.00021471,0.00021471,0.00021471
90,4783.83,0.45507,0.22671,0.86928,0.99235,0.97871,0.99357,0.91164,0.43737,0.20623,0.84452,0.000198206,0.000198206,0.000198206
91,4851.32,0.42493,0.2035,0.85236,0.98814,0.98611,0.99362,0.91139,0.43524,0.20691,0.84465,0.000181703,0.000181703,0.000181703
92,4902.74,0.41855,0.20019,0.85165,0.98796,0.98688,0.99366,0.91184,0.43824,0.20639,0.84529,0.0001652,0.0001652,0.0001652
93,4954.03,0.41384,0.19788,0.84918,0.98978,0.98704,0.99366,0.91166,0.43524,0.20367,0.84313,0.000148696,0.000148696,0.000148696
94,5005.21,0.41102,0.19532,0.8458,0.98471,0.98815,0.994,0.91534,0.43387,0.20324,0.84419,0.000132193,0.000132193,0.000132193
95,5056.34,0.40573,0.19131,0.84275,0.98728,0.98733,0.99382,0.914,0.43682,0.20519,0.84326,0.00011569,0.00011569,0.00011569
96,5108.62,0.4052,0.1912,0.8418,0.98635,0.9887,0.99378,0.91439,0.43629,0.20369,0.84325,9.91865e-05,9.91865e-05,9.91865e-05
97,5159.97,0.40377,0.18808,0.84274,0.98965,0.98678,0.99399,0.91458,0.43642,0.19971,0.84257,8.26832e-05,8.26832e-05,8.26832e-05
98,5211.66,0.40324,0.18814,0.84735,0.9888,0.98601,0.99388,0.91515,0.43451,0.20021,0.84143,6.61799e-05,6.61799e-05,6.61799e-05
99,5262.56,0.39761,0.18507,0.84174,0.98385,0.98981,0.99381,0.91309,0.43697,0.19976,0.84235,4.96766e-05,4.96766e-05,4.96766e-05
100,5313.18,0.39681,0.18567,0.83665,0.98773,0.98678,0.99369,0.9147,0.43418,0.19757,0.84191,3.31733e-05,3.31733e-05,3.31733e-05
